area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	090:LISA REMMER	091:NANCY PELOSI
PCT7341	ED	908	260	0	0	17	243	28	215
PCT7341	MV	908	401	0	0	21	380	44	336
PCT7342	ED	947	334	0	0	15	319	37	282
PCT7342	MV	947	414	0	0	15	399	57	342
PCT7343	ED	731	234	0	0	11	223	19	204
PCT7343	MV	731	316	0	0	13	303	26	277
PCT7344	ED	1110	291	0	0	16	275	45	230
PCT7344	MV	1110	538	0	0	20	518	69	449
PCT7345	ED	1141	329	1	0	13	315	36	279
PCT7345	MV	1141	521	0	0	14	507	69	438
PCT7346	ED	920	250	0	0	15	235	18	217
PCT7346	MV	920	384	0	0	18	366	44	322
PCT7347	ED	1040	241	0	0	10	231	21	210
PCT7347	MV	1040	480	0	1	20	459	37	422
PCT7348	ED	861	210	0	0	4	206	33	173
PCT7348	MV	861	353	0	1	13	339	41	298
PCT7349	ED	957	248	0	0	9	239	36	203
PCT7349	MV	957	427	0	0	25	402	59	343
PCT7501	ED	565	172	0	0	5	167	19	148
PCT7501	MV	565	308	0	0	10	298	41	257
PCT7502	ED	784	180	1	0	9	170	27	143
PCT7502	MV	784	447	0	2	13	432	62	370
PCT7503	ED	764	208	0	0	10	198	27	171
PCT7503	MV	764	388	0	0	10	378	52	326
PCT7504	ED	503	112	0	0	6	106	17	89
PCT7504	MV	503	222	0	0	4	218	26	192
PCT7505	ED	869	158	0	0	7	151	20	131
PCT7505	MV	869	532	0	0	25	507	73	434
PCT7506	ED	999	226	0	0	5	221	22	199
PCT7506	MV	999	473	0	0	11	462	64	398
PCT7507	ED	955	211	0	0	13	198	26	172
PCT7507	MV	955	344	0	0	15	329	30	299
PCT7508	ED	727	154	0	0	8	146	21	125
PCT7508	MV	727	427	0	0	17	410	51	359
PCT7509	ED	932	235	2	0	11	222	23	199
PCT7509	MV	932	470	1	0	11	458	50	408
PCT7512	ED	612	150	0	0	13	137	36	101
PCT7512	MV	612	283	0	1	14	268	61	207
PCT7513	ED	818	225	0	1	17	207	23	184
PCT7513	MV	818	315	0	1	15	299	48	251
PCT7514	ED	874	140	0	0	7	133	9	124
PCT7514	MV	874	305	0	0	20	285	29	256
PCT7515	ED	869	212	0	0	14	198	18	180
PCT7515	MV	869	389	0	0	15	374	41	333
PCT7516	ED	922	172	0	1	6	165	17	148
PCT7516	MV	922	538	0	0	16	522	70	452
PCT7517	ED	863	289	0	0	12	277	19	258
PCT7517	MV	863	410	0	0	20	390	19	371
PCT7518	ED	950	309	0	0	12	297	20	277
PCT7518	MV	950	480	0	0	17	463	26	437
PCT7519	ED	737	224	0	0	9	215	18	197
PCT7519	MV	737	355	0	0	12	343	23	320
PCT7521	ED	812	292	0	0	15	277	19	258
PCT7521	MV	812	354	0	0	14	340	13	327
PCT7522	ED	764	207	0	0	7	200	11	189
PCT7522	MV	764	397	0	0	15	382	14	368
PCT7523	ED	747	275	0	0	13	262	25	237
PCT7523	MV	747	359	0	0	10	349	28	321
PCT7524	ED	615	181	0	0	12	169	7	162
PCT7524	MV	615	262	0	0	8	254	19	235
PCT7525	ED	800	205	0	0	17	188	9	179
PCT7525	MV	800	341	0	0	9	332	21	311
PCT7526	ED	1011	292	0	1	11	280	19	261
PCT7526	MV	1011	552	0	0	14	538	27	511
PCT7527	ED	725	211	0	1	12	198	27	171
PCT7527	MV	725	339	0	1	17	321	32	289
PCT7529	ED	948	295	0	0	13	282	19	263
PCT7529	MV	948	486	0	0	19	467	19	448
PCT7531	ED	865	228	0	0	11	217	15	202
PCT7531	MV	865	442	0	0	15	427	18	409
PCT7532	ED	852	246	0	0	17	229	24	205
PCT7532	MV	852	398	0	0	15	383	41	342
PCT7533	ED	1015	357	0	0	19	338	21	317
PCT7533	MV	1015	490	0	0	21	469	39	430
PCT7534	ED	936	322	0	0	17	305	20	285
PCT7534	MV	936	415	0	0	16	399	29	370
PCT7535	ED	767	262	0	0	17	245	14	231
PCT7535	MV	767	387	0	1	19	367	22	345
PCT7536	ED	863	291	0	0	16	275	10	265
PCT7536	MV	863	421	0	0	11	410	24	386
PCT7537	ED	752	240	0	0	10	230	21	209
PCT7537	MV	752	363	0	0	13	350	22	328
PCT7538	ED	771	246	0	0	10	236	14	222
PCT7538	MV	771	400	0	0	11	389	20	369
PCT7539	ED	922	330	0	0	19	311	19	292
PCT7539	MV	922	428	0	0	23	405	19	386
PCT7541	ED	805	248	0	0	7	241	10	231
PCT7541	MV	805	400	0	0	20	380	19	361
PCT7542	ED	821	272	0	0	18	254	15	239
PCT7542	MV	821	389	0	0	16	373	16	357
PCT7543	ED	909	216	0	0	9	207	4	203
PCT7543	MV	909	467	0	0	14	453	24	429
PCT7544	ED	898	258	0	0	15	243	23	220
PCT7544	MV	898	479	0	0	22	457	18	439
PCT7545	ED	918	273	0	0	16	257	20	237
PCT7545	MV	918	480	0	0	24	456	46	410
PCT7546	ED	982	304	0	0	15	289	23	266
