area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	060:Yes	061:No
ALLPCTS	TO	500516	372461	281	0	168	18694	353318	255876	97442
ALLPCTS	ED	500516	127556	68	0	49	6369	121070	90138	30932
ALLPCTS	MV	500516	244905	213	0	119	12325	232248	165738	66510
PCT1101	ED	553	125	0	0	0	10	115	91	24
PCT1101	MV	553	266	0	0	0	9	257	194	63
PCT1102	ED	995	266	0	0	0	9	257	190	67
PCT1102	MV	995	480	-2	0	0	21	461	323	138
PCT1103	ED	951	246	1	0	0	10	235	177	58
PCT1103	MV	951	445	-1	0	0	14	432	291	141
PCT1104	ED	993	249	-1	0	0	13	237	170	67
PCT1104	MV	993	414	-2	0	0	18	398	311	87
PCT1106	ED	765	191	0	0	0	10	181	126	55
PCT1106	MV	765	343	-1	0	0	17	327	230	97
PCT1107	ED	746	163	0	0	0	7	156	121	35
PCT1107	MV	746	336	5	0	1	27	303	217	86
PCT1108	ED	909	232	-1	0	0	10	223	172	51
PCT1108	MV	909	437	-1	0	0	28	410	296	114
PCT1109	ED	798	166	0	0	1	11	154	113	41
PCT1109	MV	798	365	-2	0	0	21	346	236	110
PCT1111	ED	1002	205	0	0	0	14	191	149	42
PCT1111	MV	1002	460	-3	0	0	30	433	287	146
PCT1112	ED	769	151	2	0	0	10	139	109	30
PCT1112	MV	769	344	-1	0	0	21	324	223	101
PCT1113	ED	746	134	0	0	0	9	125	96	29
PCT1113	MV	746	359	0	0	0	24	335	221	114
PCT1114	ED	957	226	-2	0	0	16	212	161	51
PCT1114	MV	957	403	0	0	1	20	382	300	82
PCT1115	ED	895	173	0	0	0	7	166	133	33
PCT1115	MV	895	371	-3	0	0	19	355	248	107
PCT1116	ED	895	224	1	0	0	13	210	164	46
PCT1116	MV	895	376	-2	0	0	22	356	261	95
PCT1117	ED	858	184	0	0	0	10	174	125	49
PCT1117	MV	858	357	1	0	0	16	340	249	91
PCT1118	ED	1043	213	0	0	0	7	206	159	47
PCT1118	MV	1043	475	-3	0	0	26	452	322	130
PCT1119	ED	791	165	0	0	0	8	157	116	41
PCT1119	MV	791	386	0	0	0	12	374	275	99
PCT1121	ED	691	159	0	0	0	9	150	99	51
PCT1121	MV	691	313	-1	0	0	30	284	193	91
PCT1122	ED	632	109	0	0	0	2	107	71	36
PCT1122	MV	632	310	-1	0	0	17	294	188	106
PCT1123	ED	915	179	0	0	0	7	172	141	31
PCT1123	MV	915	364	-1	0	0	26	339	248	91
PCT1124	ED	819	152	0	0	0	7	145	104	41
PCT1124	MV	819	302	-2	0	0	13	291	208	83
PCT1125	ED	1047	159	1	0	1	6	151	111	40
PCT1125	MV	1047	466	0	0	1	23	442	313	129
PCT1126	ED	922	190	0	0	0	10	180	137	43
PCT1126	MV	922	400	-2	0	0	17	385	272	113
PCT1127	ED	920	200	0	0	0	9	191	141	50
PCT1127	MV	920	382	-2	0	0	17	367	245	122
PCT1128	ED	838	154	0	0	0	10	144	107	37
PCT1128	MV	838	362	0	0	0	20	342	258	84
PCT1129	ED	980	227	1	0	0	15	211	148	63
PCT1129	MV	980	416	2	0	1	23	390	275	115
PCT1131	ED	797	132	0	0	0	5	127	104	23
PCT1131	MV	797	371	0	0	0	20	351	242	109
PCT1132	ED	969	179	2	0	0	8	169	131	38
PCT1132	MV	969	427	-1	0	0	22	406	283	123
PCT1133	ED	863	161	1	0	0	14	146	115	31
PCT1133	MV	863	410	0	0	0	24	386	287	99
PCT1134	ED	759	170	2	0	0	10	158	123	35
PCT1134	MV	759	317	-3	0	1	20	299	187	112
PCT1135	ED	540	87	1	0	0	6	80	59	21
PCT1135	MV	540	295	1	0	0	20	274	185	89
PCT1136	ED	829	144	0	0	0	7	137	105	32
PCT1136	MV	829	412	1	0	0	25	386	287	99
PCT1141	ED	1041	223	3	0	0	12	208	164	44
PCT1141	MV	1041	484	-1	0	0	16	469	352	117
PCT1142	ED	861	175	-1	0	0	7	169	135	34
PCT1142	MV	861	393	-2	0	0	21	374	288	86
PCT1143	ED	1034	228	1	0	0	5	222	176	46
PCT1143	MV	1034	440	1	0	0	19	420	320	100
PCT1144	ED	907	205	2	0	0	8	195	152	43
PCT1144	MV	907	387	0	0	0	22	365	266	99
PCT1145	ED	888	189	1	0	0	12	176	135	41
PCT1145	MV	888	461	-3	0	0	20	444	325	119
PCT1146	ED	1011	186	-1	0	0	6	181	151	30
PCT1146	MV	1011	454	0	0	1	24	429	307	122
PCT1147	ED	877	210	4	0	0	11	195	139	56
PCT1147	MV	877	396	2	0	0	17	377	284	93
PCT1148	ED	962	196	1	0	0	11	184	143	41
PCT1148	MV	962	444	0	0	1	20	423	312	111
PCT1149	ED	907	210	1	0	0	10	199	153	46
PCT1149	MV	907	407	-6	0	0	31	382	267	115
PCT1152	ED	864	198	-1	0	0	11	188	141	47
PCT1152	MV	864	388	0	0	0	12	376	273	103
PCT1153	ED	951	209	0	0	0	14	195	136	59
